#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.Id
#foreign_key_rtable=rtable.Id
#ltable=POINTER
_id,ltable.Id,rtable.Id,ltable.Director,ltable.Name,ltable.Year,rtable.Director,rtable.Name,rtable.YearRange,gold
3459,tt0110955,ref,Ted Demme,The Ref,1994,Ted Demme,The Ref,1993 1994 1995,1
3472,tt0111280,star_trek_generations,David Carson,Star Trek: Generations,1994,David Carson,Star Trek Generations,1993 1994 1995,1
3517,tt0112435,babysitters_club_the_movie,Melanie Mayron,The Baby-Sitters Club,1995,"Melanie Mayron,Lynn Hamrick",The Baby-Sitters Club,1994 1995 1996,1
3550,tt0112851,desperado,Robert Rodriguez,Desperado,1995,Robert Rodriguez,Desperado,1994 1995 1996,1
3565,tt0113080,flirt,Hal Hartley,Flirt,1995,Hal Hartley,Flirt,1995 1996 1997,1
3610,tt0113613,1071464-last_supper,Stacy Title,The Last Supper,1995,Stacy Title,The Last Supper,1995 1996 1997,1
3625,tt0113748,1061809-malicious,Ian Corson,Malicious,1995,Ian Corson,Malicious,1994 1995 1996,1
3631,tt0113870,it_runs_in_the_family_1994,Marc Rocco,Murder in the First,1995,"Bob Clark (III),Bob Clark",It Runs in the Family,1993 1994 1995,0
3643,tt0113987,natural_born_killers,Oliver Stone,Nixon,1995,Oliver Stone,Natural Born Killers,1993 1994 1995,0
3666,tt0114508,1047985-getaway,Roger Donaldson,Species,1995,Roger Donaldson,The Getaway,1993 1994 1995,0
3726,tt0115798,craft,Ben Stiller,The Cable Guy,1996,Andrew Fleming,The Craft,1995 1996 1997,0
3760,tt0116191,1073316-emma,Douglas McGrath,Emma,1996,Douglas McGrath,Emma,1995 1996 1997,1
3814,tt0116908,kiss_the_girls_goodbye,Renny Harlin,The Long Kiss Goodnight,1996,Lee Karaim,Kiss the Girls Goodbye,1996 1997 1998,0
3816,tt0116928,love_is_all_there_is,"Joseph Bologna,Rene Taylor",Love Is All There Is,1996,"George Pappas,Rene Taylor,Joseph Bologna",Love Is All There Is,1996 1997 1998,1
3837,tt0117500,1062483-bad_boys,Michael Bay,The Rock,1996,"Zak Levitt,Michael Bay",Bad Boys,1994 1995 1996,0
3902,tt0118689,bean,Mel Smith,Bean,1997,Mel Smith,Bean,1996 1997 1998,1
3913,tt0118755,1081203-borrowers,Peter Hewitt,The Borrowers,1997,"Peter Hewitt (I),Peter Hewitt",The Borrowers,1997 1998 1999,1
3938,tt0118972,devils_advocate,Alan J. Pakula,The Devil's Own,1997,Taylor Hackford,The Devil's Advocate,1996 1997 1998,0
3940,tt0119011,1093614-double_jeopardy,Mark L. Lester,Double Take,1998,Bruce Beresford,Double Jeopardy,1998 1999 2000,0
3943,tt0119011,double_team,Mark L. Lester,Double Take,1998,"Tsui Hark,Dennis Rodman,Jean-Claude Van Damme,Mickey Rourke,Paul Freeman,Hark Tsui",Double Team,1996 1997 1998,0
3959,tt0119099,fallen_knight,Gregory Hoblit,Fallen,1998,Jean-Marc Pich,Fallen Knight,1997 1998 1999,0
3979,tt0119223,1081200-great_expectations,Alfonso Cuarn,Great Expectations,1998,Alfonso Cuarn,Great Expectations,1997 1998 1999,1
3994,tt0119432,jungle_2_jungle,John Pasquin,Jungle 2 Jungle,1997,John Pasquin,Jungle 2 Jungle,1996 1997 1998,1
4002,tt0119502,holy_man,Stephen Kay,The Last Time I Committed Suicide,1997,Stephen Herek,Holy Man,1997 1998 1999,0
4009,tt0119544,little_boy_blue,Art Camacho,Little Bigfoot,1997,Antonio Tibaldi,Little Boy Blue,1997 1998 1999,0
4035,tt0119670,mighty,Peter Chelsom,The Mighty,1998,Peter Chelsom,The Mighty,1997 1998 1999,1
4042,tt0119784,boogie_nights,Mark Pavia,The Night Flier,1997,Paul Thomas Anderson,Boogie Nights,1996 1997 1998,0
4077,tt0120157,magnolia,Paul W.S. Anderson,Soldier,1998,Paul Thomas Anderson,Magnolia,1998 1999 2000,0
4107,tt0120510,sixth_sense,M. Night Shyamalan,Wide Awake,1998,M. Night Shyamalan,The Sixth Sense,1998 1999 2000,0
4145,tt0120723,missing_link_1999,Doug Ellin,Kissing a Fool,1998,Ger Poppelaars,Missing Link,1998 1999 2000,0
4153,tt0120744,iron_giant,Randall Wallace,The Man in the Iron Mask,1998,Brad Bird,The Iron Giant,1998 1999 2000,0
4198,tt0120890,wild_things,John McNaughton,Wild Things,1998,John McNaughton,Wild Things,1997 1998 1999,1
4219,tt0122933,analyze_this,Harold Ramis,Analyze This,1999,Harold Ramis,Analyze This,1998 1999 2000,1
4224,tt0123977,1093745-love_bug,Mario Van Peebles,Love Kills,1998,Peyton Reed,The Love Bug,1996 1997 1998,0
4229,tt0124014,terminator,"Buddy Cooper,John Douglass",The Mutilator,1984,James Cameron,The Terminator,1983 1984 1985,0
4230,tt0124198,wild_things,Peter Berg,Very Bad Things,1998,John McNaughton,Wild Things,1997 1998 1999,0
4252,tt0126916,for_love_of_the_game,Sam Raimi,For Love of the Game,1999,Sam Raimi,For Love of the Game,1998 1999 2000,1
4281,tt0131484,hitmans_run,Mark L. Lester,Misbegotten,1998,Mark L. Lester,Hitman's Run,1998 1999 2000,0
4317,tt0139134,cruel_intentions,Roger Kumble,Cruel Intentions,1999,Roger Kumble,Cruel Intentions,1998 1999 2000,1
4344,tt0144084,american_beauty,Mary Harron,American Psycho,2000,Sam Mendes,American Beauty,1998 1999 2000,0
4372,tt0146984,1097308-legend_of_sleepy_hollow,Robert Redford,The Legend of Bagger Vance,2000,"Jim Ormond,Pierre Gang",The Legend of Sleepy Hollow,1998 1999 2000,0
4425,tt0160916,straight_story,Rob Reiner,The Story of Us,1999,David Lynch,The Straight Story,1998 1999 2000,0
4435,tt0161100,waterboy,Rick Famuyiwa,The Wood,1999,Frank Coraci,The Waterboy,1997 1998 1999,0
4452,tt0163187,other_sister,Garry Marshall,Runaway Bride,1999,Garry Marshall,The Other Sister,1998 1999 2000,0
4483,tt0166485,all_the_kings_men_2000,Andy Tennant,Anna and the King,1999,Julian Jarrold,All the King's Men,1999 2000 2001,0
4485,tt0166485,jeanne_and_the_perfect_guy_1999,Andy Tennant,Anna and the King,1999,"Jacques Martineau,Olivier Ducastel",Jeanne and the Perfect Guy,1998 1999 2000,0
4496,tt0167059,1081497-boxer,Hal Hartley,The Book of Life,1998,Jim Sheridan,The Boxer,1996 1997 1998,0
4506,tt0167261,lord_of_the_rings_the_fellowship_of_the_ring_extended,Peter Jackson,The Lord of the Rings: The Two Towers,2002,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring (Extended),2000 2001 2002,0
4516,tt0167360,race_to_space,Sean McNamara,Race to Space,2001,Sean McNamara,Race to Space,2000 2001 2002,1
4522,tt0167427,1093874-superstar,Bruce McCulloch,Superstar,1999,Bruce McCulloch,Superstar,1998 1999 2000,1
4543,tt0172156,collateral,Michael Bay,Bad Boys II,2003,Michael Mann,Collateral,2003 2004 2005,0
4565,tt0175880,magnolia,Paul Thomas Anderson,Magnolia,1999,Paul Thomas Anderson,Magnolia,1998 1999 2000,1
4566,tt0175880,rushmore,Paul Thomas Anderson,Magnolia,1999,Wes Anderson,Rushmore,1997 1998 1999,0
4605,tt0183505,me_myself_i,"Bobby Farrelly,Peter Farrelly","Me, Myself & Irene",2000,"Philippa Karmel,Phillipa Karmel,Pip Karmel",Me Myself I,1999 2000 2001,0
4638,tt0190138,whole_nine_yards,Jonathan Lynn,The Whole Nine Yards,2000,Jonathan Lynn,The Whole Nine Yards,1999 2000 2001,1
4640,tt0190590,man_who_wasnt_there,"Joel Coen,Ethan Coen","O Brother, Where Art Thou?",2000,"Ethan Coen,Joel Coen",The Man Who Wasn't There,2000 2001 2002,0
4647,tt0195685,1103281-traffic,Steven Soderbergh,Erin Brockovich,2000,Steven Soderbergh,Traffic,1999 2000 2001,0
4663,tt0198386,the_cell_2000,Michael Dinner,The Crew,2000,"Jennifer Lopez,Marianne Jean-Baptiste,Musetta Vander,Tarsem Duamdwar,Vince Vaughn,Vincent D'Onofrio,Tarsem Singh",The Cell,1999 2000 2001,0
4668,tt0199753,1108704-planet_of_the_apes,Antony Hoffman,Red Planet,2000,Tim Burton,Planet of the Apes,2000 2001 2002,0
4670,tt0200472,beautiful_creatures,Stephen Metcalfe,Beautiful Joe,2000,Bill Eagles,Beautiful Creatures,2000 2001 2002,0
4696,tt0209475,walk_to_remember,Adam Shankman,The Wedding Planner,2001,Adam Shankman,A Walk to Remember,2001 2002 2003,0
4713,tt0212985,gladiator,Ridley Scott,Hannibal,2001,Ridley Scott,Gladiator,1999 2000 2001,0
4728,tt0215750,enemy_at_the_gates,Jean-Jacques Annaud,Enemy at the Gates,2001,Jean-Jacques Annaud,Enemy at the Gates,2000 2001 2002,1
4737,tt0218967,1093551-best_man,Brett Ratner,The Family Man,2000,Malcolm D. Lee,The Best Man,1998 1999 2000,0
4772,tt0221027,blow,Ted Demme,Blow,2001,Ted Demme,Blow,2000 2001 2002,1
4787,tt0230600,four_feathers,Alejandro Amenbar,The Others,2001,Shekhar Kapur,The Four Feathers,2001 2002 2003,0
4795,tt0232500,princess_and_the_pea_2002,Rob Cohen,The Fast and the Furious,2001,Mark Swan,Princess and the Pea,2001 2002 2003,0
4855,tt0242653,evolution2002,"Andy Wachowski,Lana Wachowski",The Matrix Revolutions,2003,"Alastair Reid,David Espar,Gail Willumsen,Joel Olicker,Kate Churchill,Noel Buckner,Richard Hutton,Robert Whittlesey,Susan K. Lewis",Evolution,2001 2002 2003,0
4872,tt0244000,american_pie_2,Les Mayfield,American Outlaws,2001,"James B. Rogers (II),J.B. Rogers",American Pie 2,2000 2001 2002,0
4920,tt0251075,evolution2002,Ivan Reitman,Evolution,2001,"Alastair Reid,David Espar,Gail Willumsen,Joel Olicker,Kate Churchill,Noel Buckner,Richard Hutton,Robert Whittlesey,Susan K. Lewis",Evolution,2001 2002 2003,0
4939,tt0255819,baby_boy,John Singleton,Baby Boy,2001,John Singleton,Baby Boy,2000 2001 2002,1
4946,tt0257076,swat,Clark Johnson,S.W.A.T.,2003,Clark Johnson,S.W.A.T.,2002 2003 2004,1
4961,tt0259182,american_beauty,Adam Simon,The American Nightmare,2000,Sam Mendes,American Beauty,1998 1999 2000,0
4963,tt0259182,american_pie,Adam Simon,The American Nightmare,2000,"Chris Weitz,Paul Weitz",American Pie,1998 1999 2000,0
4976,tt0259711,almost_famous,Cameron Crowe,Vanilla Sky,2001,Cameron Crowe,Almost Famous,1999 2000 2001,0
4982,tt0263757,mean_girls,Boaz Yakin,Uptown Girls,2003,"Mark Waters,Mark Waters (VIII)",Mean Girls,2003 2004 2005,0
5016,tt0266915,rush_hour_2,Brett Ratner,Rush Hour 2,2001,Brett Ratner,Rush Hour 2,2000 2001 2002,1
5027,tt0268695,1112951-time_machine,Simon Wells,The Time Machine,2002,"Simon Wells,Gore Verbinski",The Time Machine,2001 2002 2003,1
5043,tt0270288,confessions_of_a_dangerous_mind,George Clooney,Confessions of a Dangerous Mind,2002,George Clooney,Confessions of a Dangerous Mind,2002 2003 2004,1
5044,tt0270560,our_lips_are_sealed,Craig Shapiro,Our Lips Are Sealed,2000,"Ashley Olsen,Mary-Kate Olsen,Craig Shapiro",Our Lips Are Sealed,1999 2000 2001,1
5055,tt0273923,orange_county,Jake Kasdan,Orange County,2002,Jake Kasdan,Orange County,2001 2002 2003,1
5091,tt0278823,hollywood_ending,Woody Allen,Hollywood Ending,2002,Woody Allen,Hollywood Ending,2001 2002 2003,1
5096,tt0279688,beyond_the_sea_2005,"Barrett J. Leigh,Thom Maurer",Beyond the Wall of Sleep,2006,Lisandro Perez-Rey,Beyond the Sea,2004 2005 2006,0
5109,tt0280720,dish,Daisy von Scherler Mayer,The Guru,2002,Rob Sitch,The Dish,2000 2001 2002,0
5115,tt0280969,my_little_eye,Marc Evans,My Little Eye,2002,Marc Evans,My Little Eye,2001 2002 2003,1
5130,tt0283530,the_razors_edge,Michael Hoffman,The Emperor's Club,2002,Edmund Goulding,The Razor's Edge,2000 2001 2002,0
5198,tt0294870,1152276-rent,Chris Columbus,Rent,2005,Chris Columbus,Rent,2004 2005 2006,1
5250,tt0302640,hot_chick,Tom Brady,The Hot Chick,2002,Tom Brady,The Hot Chick,2001 2002 2003,1
5264,tt0305206,1118347-quiet_american,"Shari Springer Berman,Robert Pulcini",American Splendor,2003,Phillip Noyce,The Quiet American,2002 2003 2004,0
5266,tt0305206,american_splendor,"Shari Springer Berman,Robert Pulcini",American Splendor,2003,"Robert Pulcini,Shari Springer Berman",American Splendor,2002 2003 2004,1
5309,tt0314166,december_7th_the_movie,Tuck Tucker,Hey Arnold! The Movie,2002,John Ford,December 7th: The Movie,2000 2001 2002,0
5344,tt0318850,1122674-monte_walsh,Simon Wincer,The Young Black Stallion,2003,Simon Wincer,Monte Walsh,2002 2003 2004,0
5347,tt0318974,animatrix,John Lee Hancock,The Alamo,2004,"Peter Chung,Andy Jones,Yoshiaki Kawajiri,Takeshi Koike,Mahiro Maeda,Kji Morimoto,Shinichir Watanabe",The Animatrix,2002 2003 2004,0
5350,tt0318974,the_animatrix,John Lee Hancock,The Alamo,2004,"Wachowski Brothers,Andy Jones",The Animatrix,2002 2003 2004,0
5366,tt0319470,wait,Jim Simpson,The Guys,2002,Aldo Garay,The Wait,2001 2002 2003,0
5373,tt0322330,mean_girls,Mark Waters,Freaky Friday,2003,"Mark Waters,Mark Waters (VIII)",Mean Girls,2003 2004 2005,0
5396,tt0327850,congo-white-king-red-rubber-black-death,Peter Berg,The Rundown,2003,Peter Bate,"Congo: White King, Red Rubber, Black Death",2002 2003 2004,0
5426,tt0329774,war_of_the_worlds,Lee Tamahori,xXx: State of the Union,2005,Steven Spielberg,War of the Worlds,2004 2005 2006,0
5430,tt0331632,1145385-unleashed,Raja Gosnell,Scooby-Doo 2: Monsters Unleashed,2004,Louis Leterrier,Unleashed,2004 2005 2006,0
5482,tt0338751,alamo,Martin Scorsese,The Aviator,2004,John Lee Hancock,The Alamo,2003 2004 2005,0
5495,tt0340163,1141099-hostage,Florent-Emilio Siri,Hostage,2005,Florent Emilio Siri,Hostage,2004 2005 2006,1
5517,tt0343660,first_daughter,Peter Segal,50 First Dates,2004,Forest Whitaker,First Daughter,2003 2004 2005,0
5518,tt0343660,longest_yard,Peter Segal,50 First Dates,2004,"Peter Segal,Peter Segal",The Longest Yard,2004 2005 2006,0
5519,tt0343818,i_robot,Alex Proyas,"I, Robot",2004,Alex Proyas,"I, Robot",2003 2004 2005,1
5549,tt0352248,cinderella_man,Ron Howard,Cinderella Man,2005,Ron Howard,Cinderella Man,2004 2005 2006,1
5552,tt0353324,the_wicker_man_2006,Lance Mungia,The Crow: Wicked Prayer,2005,Neil LaBute,The Wicker Man,2005 2006 2007,0
5562,tt0356470,cinderella_man,Mark Rosman,A Cinderella Story,2004,Ron Howard,Cinderella Man,2004 2005 2006,0
5588,tt0360139,chasing_liberty,Andy Cadiff,Chasing Liberty,2004,"Andy Cadiff,Shelly Ziegler",Chasing Liberty,2003 2004 2005,1
5612,tt0362165,phantom_of_the_opera,Lawrence Guterman,Son of the Mask,2005,Joel Schumacher,The Phantom of the Opera,2004 2005 2006,0
5626,tt0363473,mind_the_gap,Kevin Spacey,Beyond the Sea,2004,Eric Schaeffer,Mind the Gap,2004 2005 2006,0
5627,tt0363473,sinbad_legend_of_the_seven_seas,Kevin Spacey,Beyond the Sea,2004,"Patrick Gilmore (III),Patrick Gilmore,Tim Johnson",Sinbad: Legend of the Seven Seas,2002 2003 2004,0
5634,tt0363547,war_of_the_worlds,Zack Snyder,Dawn of the Dead,2004,Steven Spielberg,War of the Worlds,2004 2005 2006,0
5685,tt0368008,my_flesh_and_blood,Jonathan Demme,The Manchurian Candidate,2004,Jonathan Karsh,My Flesh and Blood,2002 2003 2004,0
5690,tt0368891,final_examination,Jon Turteltaub,National Treasure,2004,Fred Olen Ray,Final Examination,2002 2003 2004,0
5723,tt0371746,iron_man,Jon Favreau,Iron Man,2008,Jon Favreau,Iron Man,2007 2008 2009,1
5730,tt0372491,batman_begins,Christopher N. Rowley,The Remembering Movies,2004,Christopher Nolan,Batman Begins,2004 2005 2006,0
5736,tt0372784,1153339-creep,Christopher Nolan,Batman Begins,2005,Christopher Smith,Creep,2004 2005 2006,0
5738,tt0372784,prestige,Christopher Nolan,Batman Begins,2005,Christopher Nolan,The Prestige,2005 2006 2007,0
5743,tt0373152,beyond_the_sea,Eric Schaeffer,Mind the Gap,2004,Kevin Spacey,Beyond the Sea,2003 2004 2005,0
5779,tt0377066,the-ghost-club,Ralph E. Portillo,The Ghost Club,2003,"Rafe M. Portilo,Ralph Portillo,Ralph E. Portillo",The Ghost Club,2002 2003 2004,1
5803,tt0379786,serenity,Joss Whedon,Serenity,2005,Joss Whedon,Serenity,2004 2005 2006,1
5814,tt0380623,the-best-man2006,Mark Rosman,The Perfect Man,2005,Alex Pillai,The Best Man,2005 2006 2007,0
5818,tt0381707,white_chicks,Keenen Ivory Wayans,White Chicks,2004,Keenen Ivory Wayans,White Chicks,2003 2004 2005,1
5899,tt0395169,hotel_2003,Terry George,Hotel Rwanda,2004,Mike Figgis,Hotel,2002 2003 2004,0
5910,tt0396652,barbie_as_the_princess_and_the_pauper,Tim Fywell,Ice Princess,2005,William Lau,Barbie as the Princess and the Pauper,2003 2004 2005,0
5915,tt0396707,secret_handshake,Gabor Csupo,The Secret of Moonacre,2008,"Harsha Wardhan,Harsh Gijre",A Secret Handshake,2006 2007 2008,0
5917,tt0396752,1153987-nanny_mcphee,Kirk Jones,Nanny McPhee,2005,Kirk Jones,Nanny McPhee,2005 2006 2007,1
5922,tt0397065,man_of_the_house,Jaume Collet-Serra,House of Wax,2005,Stephen Herek,Man of the House,2004 2005 2006,0
5973,tt0405325,1142872-sky_high,Mike Mitchell,Sky High,2005,"Mike Mitchell,Mike Mitchell (VI)",Sky High,2004 2005 2006,1
6010,tt0407732,dirty_shame,David Kendall,Dirty Deeds,2005,John Waters,A Dirty Shame,2003 2004 2005,0
6039,tt0410297,the_11th_hour_2006,Alejandro Agresti,The Lake House,2006,Zelalem Woldemariam,The 11th Hour,2005 2006 2007,0
6051,tt0413300,spiderman_3,Sam Raimi,Spider-Man 3,2007,Sam Raimi,Spider-Man 3,2006 2007 2008,1
6070,tt0415119,over_the_hedge,Lewis Helfer,Life on the Ledge,2005,"Tim Johnson,Karey Kirkpatrick",Over the Hedge,2005 2006 2007,0
6071,tt0415306,talladega_nights_the_ballad_of_ricky_bobby,Adam McKay,Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,Talladega Nights: The Ballad of Ricky Bobby,2005 2006 2007,1
6078,tt0417001,must_love_dogs,Gary David Goldberg,Must Love Dogs,2005,Gary David Goldberg,Must Love Dogs,2004 2005 2006,1
6101,tt0418819,man_of_the_year,George A. Romero,Land of the Dead,2005,Barry Levinson,Man of the Year,2005 2006 2007,0
6104,tt0418819,phantom_of_the_opera,George A. Romero,Land of the Dead,2005,Joel Schumacher,The Phantom of the Opera,2004 2005 2006,0
6110,tt0419434,hardcore_2005,Paul Rachman,American Hardcore,2006,Dennis Iliadis,Hardcore,2004 2005 2006,0
6134,tt0421729,1154157-big_mommas_house_2,John Whitesell,Big Momma's House 2,2006,"John P. Whitesell,Elton LeBlanc,Emily Procter,Emily Proctor,Kat Dennings,Marisol Nichols,Mark Moses,Martin Lawrence,Michelle Parylak,Nia Long,Sarah Brown,Stacy Keibler,John Whitesell",Big Momma's House 2,2005 2006 2007,1
6140,tt0422774,are_we_done_yet,Steve Carr,Are We Done Yet?,2007,Steve Carr,Are We Done Yet?,2006 2007 2008,1
6198,tt0431213,lassie,Charles Sturridge,Lassie,2005,Charles Sturridge,Lassie,2005 2006 2007,1
6205,tt0432348,saw_ii,Darren Lynn Bousman,Saw II,2005,"Darren Bousman,Barry Flatman,Beverley Mitchell,Dina Meyer,Donnie Wahlberg,Emmanuelle Vaugier,Erik Knudsen,Franky G,Glenn Plummer,Shawnee Smith,Darren Lynn Bousman,Tim Burd,Tobin Bell",Saw II,2004 2005 2006,1
6208,tt0433362,daybreakers,"Michael Spierig,Peter Spierig",Daybreakers,2009,"Peter Spierig,Michael Spierig",Daybreakers,2009 2010 2011,1
6216,tt0433963,dark_corners,Craig Singer,Dark Ride,2006,Ray Gower,Dark Corners,2005 2006 2007,0
6250,tt0436697,queen,Stephen Frears,The Queen,2006,Stephen Frears,The Queen,2005 2006 2007,1
6266,tt0443272,the_adventures_of_tintin_the_imax_experience,Steven Spielberg,Lincoln,2012,Steven Spielberg,The Adventures Of Tintin: The IMAX Experience,2010 2011 2012,0
6273,tt0443456,breaking_and_entering,Anthony Minghella,Breaking and Entering,2006,Anthony Minghella,Breaking and Entering,2006 2007 2008,1
6280,tt0443536,1155109-hoodwinked,"Cory Edwards,Todd Edwards",Hoodwinked!,2005,"Anne Hathaway,Anthony Anderson,Chazz Palminteri,Glenn Close,James Belushi,Patrick Warburton,Sally Struthers,Tara Strong,Cory Edwards,Tom Kenny,Todd Edwards,Tony Leech,Xzibit",Hoodwinked,2004 2005 2006,1
6299,tt0445990,invincible,Ericson Core,Invincible,2006,Ericson Core,Invincible,2005 2006 2007,1
6317,tt0449467,babel,Alejandro Gonzlez Irritu,Babel,2006,Alejandro Gonzlez Irritu,Babel,2005 2006 2007,1
6324,tt0450345,the-mangler-reborn,Neil LaBute,The Wicker Man,2006,"Matt Cunningham,Erik Gardner",The Mangler Reborn,2004 2005 2006,0
6327,tt0451079,horton-hears-a-who2008,"Jimmy Hayward,Steve Martino",Horton Hears a Who!,2008,"Steve Martino,Jimmy Hayward",Dr. Seuss' Horton Hears a Who!,2007 2008 2009,0
6332,tt0452608,1175162-until_death,Paul W.S. Anderson,Death Race,2008,Simon Fellows,Until Death,2006 2007 2008,0
6333,tt0452608,death_proof,Paul W.S. Anderson,Death Race,2008,"Robert Rodriguez,Quentin Tarantino",Death Proof,2006 2007 2008,0
6347,tt0453467,deja_vu,Tony Scott,Deja Vu,2006,Tony Scott,Dj Vu,2005 2006 2007,1
6384,tt0455944,southpaw_2015,Antoine Fuqua,The Equalizer,2014,Antoine Fuqua,Southpaw,2014 2015 2016,0
6392,tt0457297,perfect_man,John R. Leonetti,The Butterfly Effect 2,2006,Mark Rosman,The Perfect Man,2004 2005 2006,0
6403,tt0457400,platoon_of_the_dead,Brad Silberling,Land of the Lost,2009,John Bowker,Platoon of the Dead,2008 2009 2010,0
6411,tt0457433,the_strangers,James Foley,Perfect Stranger,2007,"Bryan Bertino,Daminico Lynch",The Strangers,2007 2008 2009,0
6447,tt0460791,the_fountain,Tarsem Singh,The Fall,2006,Darren Aronofsky,The Fountain,2005 2006 2007,0
6464,tt0462322,grindhouse,"Robert Rodriguez,Eli Roth",Grindhouse,2007,"Robert Rodriguez,Eli Roth,Quentin Tarantino,Edgar Wright,Rob Zombie",Grindhouse,2006 2007 2008,1
6486,tt0463960,the_devil_inside,James Oakley,The Devil You Know,2013,"Joaquin Perea,William Brent Bell",The Devil Inside,2011 2012 2013,0
6513,tt0466909,the_boxers_omen_2006,John Moore,The Omen,2006,"Chih-Hung Kwei,Chin Hung Kuei",The Boxer's Omen (Mo),2005 2006 2007,0
6529,tt0469903,1185801-the_express,Gary Fleder,The Express,2008,Gary Fleder,The Express,2007 2008 2009,1
6534,tt0471005,10008607-day_of_the_dead,Rusty Gorman,Home of the Giants,2007,Steve Miner,Day of the Dead,2007 2008 2009,0
6537,tt0471042,ivory_tower_2010,Brett Ratner,Tower Heist,2011,Adam Traynor,Ivory Tower,2009 2010 2011,0
6540,tt0472181,the_sitter_2011,Raja Gosnell,The Smurfs,2011,David Gordon Green,The Sitter,2010 2011 2012,0
6562,tt0476964,1169498-bridge,Neil Jordan,The Brave One,2007,Eric Steel,The Bridge,2005 2006 2007,0
6565,tt0476964,omen,Neil Jordan,The Brave One,2007,John Moore,The Omen,2005 2006 2007,0
6578,tt0478087,ugly_truth,Robert Luketic,21,2008,Robert Luketic,The Ugly Truth,2008 2009 2010,0
6619,tt0482571,murder_at_the_presidio,Christopher Nolan,The Prestige,2006,John Fasano,Murder at the Presidio,2004 2005 2006,0
6627,tt0482606,1171939-perfect_stranger,Bryan Bertino,The Strangers,2008,James Foley,Perfect Stranger,2006 2007 2008,0
6635,tt0483726,man_of_the_year,Barry Levinson,Man of the Year,2006,Barry Levinson,Man of the Year,2005 2006 2007,1
6637,tt0483726,shes_the_man,Barry Levinson,Man of the Year,2006,Andy Fickman,She's the Man,2005 2006 2007,0
6677,tt0492931,11th_hour,"Leila Conners,Nadia Conners",The 11th Hour,2007,"Nadia Conners,Leila Conners Petersen",The 11th Hour,2006 2007 2008,1
6701,tt0497432,reader,Robert Kurtzman,The Rage,2007,Stephen Daldry,The Reader,2007 2008 2009,0
6736,tt0760185,painted_veil,Jeff Adachi,The Slanted Screen,2006,"John Curran,John J. Curran",The Painted Veil,2005 2006 2007,0
6776,tt0780521,princess_of_nebraska,"Ron Clements,John Musker",The Princess and the Frog,2009,Wayne Wang,The Princess of Nebraska,2007 2008 2009,0
6834,tt0799954,the-best-man2006,Eric Steel,The Bridge,2006,Alex Pillai,The Best Man,2005 2006 2007,0
6888,tt0811106,the-hive,David Wain,The Ten,2007,"Peter Manus,Peter McManus",The Hive,2007 2008 2009,0
6898,tt0811138,longshots,Marco Schnabel,The Love Guru,2008,Fred Durst,The Longshots,2007 2008 2009,0
6912,tt0816442,identity_thief,Brian Percival,The Book Thief,2013,Seth Gordon,Identity Thief,2012 2013 2014,0
6937,tt0822854,shooter,Antoine Fuqua,Shooter,2007,Antoine Fuqua,Shooter,2006 2007 2008,1
6960,tt0834001,zone_of_the_dead,Patrick Tatopoulos,Underworld: Rise of the Lycans,2009,"Milan Konjevic,Milan Todorovic",Zone of the Dead,2008 2009 2010,0
6987,tt0844012,princess_diaries_2_royal_engagement,Duncan Pace,The Lost Princess,2005,Garry Marshall,The Princess Diaries 2 - Royal Engagement,2003 2004 2005,0
7014,tt0848557,diary-of-the-dead2007,George A. Romero,Diary of the Dead,2007,George A. Romero,Diary of the Dead,2006 2007 2008,1
7033,tt0864761,1185801-the_express,Saul Dibb,The Duchess,2008,Gary Fleder,The Express,2007 2008 2009,0
7074,tt0887912,10009055-rocker,Kathryn Bigelow,The Hurt Locker,2008,Peter Cattaneo,The Rocker,2007 2008 2009,0
7085,tt0892059,great_debaters,John Landis,The Great Sketch Experiment,2006,Denzel Washington,The Great Debaters,2006 2007 2008,0
7089,tt0892318,bride_wars,Gary Winick,Letters to Juliet,2010,Gary Winick,Bride Wars,2008 2009 2010,0
7101,tt0898367,10009055-rocker,John Hillcoat,The Road,2009,Peter Cattaneo,The Rocker,2007 2008 2009,0
7131,tt0906319,dead_silence,James Westby,The Auteur,2008,James Wan,Dead Silence,2006 2007 2008,0
7145,tt0933878,conviction_2010,Jeff Daniel Phillips,Convict,2009,Tony Goldwyn,Conviction,2009 2010 2011,0
7163,tt0949731,the-hive,M. Night Shyamalan,The Happening,2008,"Peter Manus,Peter McManus",The Hive,2007 2008 2009,0
7168,tt0952640,1184827-alvin_and_the_chipmunks,Tim Hill,Alvin and the Chipmunks,2007,Tim Hill,Alvin and the Chipmunks,2006 2007 2008,1
7178,tt0959337,reservation_road,Sam Mendes,Revolutionary Road,2008,Terry George,Reservation Road,2006 2007 2008,0
7193,tt0963966,sorcerers_apprentice,Jon Turteltaub,The Sorcerer's Apprentice,2010,"Jon Turtletaub,Jon Turteltaub",The Sorcerer's Apprentice,2009 2010 2011,1
7195,tt0964517,fighter-2009,David O. Russell,The Fighter,2010,Javier Barbera,The Fighter,2008 2009 2010,0
7209,tt0974661,you_again,Burr Steers,17 Again,2009,Andy Fickman,You Again,2009 2010 2011,0
