index,id,Beer_Name,Brew_Factory_Name,Style,ABV,source,entity_id
18,2811,Mermaid 's Red Ale - Bourbon Oak Aged,Coronado Brewing Company,American Amber / Red Ale,-,0,205
26,2526,Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Amber / Red Ale,9.99 %,0,206
98,34,Shark Attack Double Red Ale,Port Brewing,American Amber / Red Ale,9.00 %,0,207
74,1898,Red Dragon Smoked Amber Ale,Hoppy Brewing Co. .,American Amber / Red Ale,5.50 %,0,208
37,1649,Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 %,0,209
75,2401,Mr. Grain Jeans Organic Amber Ale,Outpost Natural Foods,American Amber / Red Ale,5.50 %,0,210
178,3372,Red Toad Amber Ale,Blue Cat Brew Pub,American Amber / Red Ale,5.70 %,0,211
192,732,Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,-,0,212
115,1815,Desert Island Series : American Honey Amber Ale,Heavy Seas Beer,American Amber / Red Ale,4.90 %,0,213
230,167,Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00 %,0,214
152,4203,Three Sheets Barleywine ( Syrah Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,0,215
129,2925,Jurassic Duck Amber Ale ( dry Hopped With Mosaic ),The Dodging Duck Brewhaus,American Amber / Red Ale,-,0,216
12,2026,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,0,217
189,3170,Bonehead Red Bourbon Barrel Aged Imperial Red,Four Peaks Brewing Company - 8th Street Brewery,American Amber / Red Ale,8.00 %,0,218
11,44,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00 %,0,219
119,589,Rocky Mountain Red Ale,Grand Lake Brewing Company,American Amber / Red Ale,-,0,220
116,2780,Hurricane Alley Amber Ale,Florida Beer Company,American Amber / Red Ale,-,0,221
137,1022,Olde Richmond Batch No. 9 Red Ale,Olde Richmond Beer Company,American Amber / Red Ale,-,0,222
144,3309,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,0,223
56,2272,Arsenal Imperial Red Ale,Great River Brewery,American Amber / Red Ale,9.00 %,0,224
135,613,Beer Of The Dragon,Beachwood BBQ & Brewing,American Amber / Red Ale,9.10 %,0,225
219,4323,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,0,226
198,1725,Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 %,0,227
217,4104,Kickin ' Chicken Bourbon Barrel Barley Wine,Santa Fe Brewing Company,American Barleywine,12.00 %,0,228
209,2751,Spencer Creek Amber Ale,Mia & Pia 's Pizzeria And Brewhouse,American Amber / Red Ale,5.50 %,0,229
218,977,JT Schmid 's Emil 's Amber Ale,JT Schmid 's Restaurant & Brewery,American Amber / Red Ale,5.20 %,0,230
187,2915,Hoppy Amber Ale ( Mountain Series ),Breckenridge Brewery,American Amber / Red Ale,6.10 %,0,231
180,1471,Mount Washington Organic Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,-,0,232
34,4138,Three Sheets Barleywine ( Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,0,233
194,928,Old Detroit Amber Ale,Frankenmuth Brewery,American Amber / Red Ale,5.60 %,0,234
134,252,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,0,235
123,543,Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,-,0,236
176,2115,Mountain City Amber Ale,Tommyknocker Brewery,American Amber / Red Ale,5.40 %,0,237
225,1367,Elk Mountain Rock Slide Amber Ale,Elk Mountain Brewing Company,Amber Ale,5.50 %,1,238
73,179,Squatters Respect Your Mother Organic Amber Ale,Squatters Craft Beers,Amber Ale,4 %,1,239
150,2374,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,11.25 %,1,240
215,1601,JT Schmids Emils Amber Ale,JT Schmids Brewhouse & Eatery,Amber Ale,5.20 %,1,241
167,1519,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,1,242
208,600,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,1,243
49,99,Liberty High Point Rocket_s Red Ale,Liberty Brewery & Grill - High Point,Irish Ale,-,1,244
133,2975,Swashbuckler Red Sea Amber Ale,Swashbuckler Brewing Company,Amber Ale,-,1,245
28,2787,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Amber Ale,5.20 %,1,246
2,1103,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,7.80 %,1,247
195,1626,RJ King Wingwalker Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Oktoberfest/M Ã $ rzen,4.50 %,1,248
71,2085,Baird Smoked Amber Ale,Baird Brewing Co. .,Smoked,-,1,249
37,2334,Austin Beerworks Battle Axe Imperial Red Ale,Austin Beerworks,American Strong Ale,8 %,1,250
186,1535,Breckenridge Mountain Series : Hoppy Amber Ale,Breckenridge Brewery,Amber Ale,6.10 %,1,251
151,2425,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,1,252
203,2627,Central City Red Racer India Style Red Ale,Central City Brewers + Distillers,Irish Ale,5.50 %,1,253
206,1308,BNS The Hills Have Eyes Amber Ale,BNS Brewing & Distilling,Amber Ale,5.20 %,1,254
97,2314,Hangar 24 Barrel Roll No. 04 : Hammerhead - Barrel Aged Barley Wine,Hangar 24 Craft Brewery,Barley Wine,11.20 %,1,255
52,521,Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,Amber Ale,6 %,1,256
198,1090,Below Grade Super Duty Double Red Ale,Below Grade Brewing LLC,American Strong Ale,7.70 %,1,257
33,2313,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 %,1,258
200,572,Laurelwood Fresh Hop Free Range Red &#40; Amarillo &#41;,Laurelwood Public House & Brewery,Amber Ale,6.10 %,1,259
134,2429,Anderson Valley Barrel Aged Horn of the Beer Barley Wine,Anderson Valley Brewing Company,Barley Wine,8.60 %,1,260
220,2564,Black Diamond Steep Trail Amber Ale,Black Diamond Brewing Company,Amber Ale,5.70 %,1,261
24,881,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,8 %,1,262
230,373,Ranga Premium Red Ale,Southern Bay Brewing Company,Amber Ale,4.50 %,1,263
1,1638,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,1,264
51,641,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,-,1,265
42,2621,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,1,266
214,583,Fish Rock Red Emperor Amber Ale,Australian Independent Brewers,Amber Ale,4.50 %,1,267
170,1348,Fox and Hound Red Fox Amber Ale,Anheuser-Busch InBev,Amber Ale,5.10 %,1,268
130,1892,Loose Shoe SlÃ ¡ inte Irish Red Ale,Loose Shoe Brewing Company,Irish Ale,5.50 %,1,269
210,2550,Ruby Mountain Angel Creek Amber Ale,Ruby Mountain Brewing Company,Amber Ale,-,1,270
114,2654,Granville Island Gastown Amber Ale,Granville Island &#40; Brewery - MolsonCoors &#41;,Amber Ale,5.50 %,1,271
116,1281,Baird Red Rose Amber Ale,Baird Brewing Co. .,California Common,5.40 %,1,272
39,124,Laguna Beach Grateful Red Imperial Red Ale,Laguna Beach Brewing,American Strong Ale,11 %,1,273
105,2636,Piney River McKinney Eddy Amber Ale,Piney River Brewing Company,Amber Ale,-,1,274
129,2208,Nighthawk 16-Hour Dry Hopped Amber,Nighthawk Brewery,Amber Ale,6.70 %,1,275
145,1563,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,1,276
55,1825,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Lompoc Brewing,Amber Ale,6.40 %,1,277
57,1955,Flat 12 Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,Amber Ale,-,1,278
118,2618,Legacy Bourbon Barrel Hedonism Red,Legacy Brewing,American Strong Ale,7.10 %,1,279
78,1853,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,Premium Bitter/ESB,5.70 %,1,280
131,1356,Grand Canyon Sunset Amber Ale,Grand Canyon Brewing Company,Amber Ale,5 %,1,281
179,77,Colorado Mountain Ole 59er Amber Ale,Colorado Mountain Brewery,Amber Ale,5.20 %,1,282
20,2019,Barrel Trolley Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,-,1,283
232,1403,Legends of the Bay Ghosts of Hope Island,Hockley Valley Brewing & Malting Company,Amber Ale,5 %,1,284
59,2463,Lompoc Bourbon Barrel Aged Old Tavern Rat,Lompoc Brewing,Barley Wine,9.70 %,1,285
199,1862,Flathead Lake Dock Start Amber Ale,Flathead Lake Brewing Company,Amber Ale,5.60 %,1,286
160,812,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,Amber Ale,8.50 %,1,287
228,865,10 Barrel Crosby Farms Harvest Fresh Hop Ale,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,5.50 %,1,288
4,1534,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company,American Strong Ale,9.50 %,1,289
31,823,&#40; 512 &#41; Cabernet Barrel Aged Three,&#40; 512 &#41; Brewing Company,Abbey Tripel,9.50 %,1,290
90,351,Imperial Oak Barrel Aged Odin_s Beard,Imperial Oak Brewing,American Strong Ale,9 %,1,291
103,287,Aarhus Cains Triple A American Amber Ale,Aarhus Bryghus,Amber Ale,5.50 %,1,292
50,22,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,American Strong Ale,8.50 %,1,293
178,2673,Fin City Jackspot Amber Ale,Fin City Brewing Company,Amber Ale,5.80 %,1,294
140,2948,Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,6.50 %,1,295
16,2562,Boneyard Skunkape India Red Ale,Boneyard Beer Company,India Pale Ale &#40; IPA &#41;,6.50 %,1,296
196,628,21st Amendment Big Hoppy Red Bird,21st Amendment Brewery,Amber Ale,7.10 %,1,297
187,692,2nd Story Hoppy New Year Amber Ale,2nd Story Brewing Company,Amber Ale,5.70 %,1,298
19,1682,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,American Strong Ale,8.60 %,1,299
40,2883,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,9.20 %,1,300
159,2681,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Alley Kat Brewing Company,Irish Ale,-,1,301
197,623,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,1,302
135,2839,Engine House No. 9 Rowdy Dick Amber Ale,Engine House No. 9 Restaurant and Brewery,Amber Ale,5.30 %,1,303
209,2805,Metolius River Ales Rusty Spinner Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5.10 %,1,304
174,1163,Intuition Barrel Aged Riverside Red,Intuition Ale Works,Amber Ale,7.80 %,1,305
61,615,Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale,Red Horn Coffee House and Brewing Company,Amber Ale,5.50 %,1,306
190,2249,Bridge Ambleside Amber Ale - Pomegranate & Galena Hops,Bridge Brewing Company,Amber Ale,5.30 %,1,307
89,1260,Blue Star Apache Amber Ale,Blue Star Brewing Co. .,Amber Ale,-,1,308
38,1863,Speakeasy Wet Hop Prohibition Red Ale,Speakeasy Ales and Lagers,Amber Ale,6.10 %,1,309
223,2936,Actual Bourbon Barrel Aged Elektron,Actual Brewing Company,Amber Ale,7.30 %,1,310
11,1973,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,AleSmith Brewing Company,American Strong Ale,8.50 %,1,311
125,2275,Maldita Old Continent American Amber Ale,Faustino Microcervejeira,Amber Ale,6 %,1,312
161,475,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Amber Ale,5.20 %,1,313
155,2143,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,-,1,314
102,213,Americas American Red Ale,Americas Brewpub,Amber Ale,-,1,315
216,2378,Columbus Bourbon Barrel Aged Uncle Rusty,Columbus Brewing Company,American Strong Ale,-,1,316
99,144,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Blue Pants Brewery,Amber Ale,9 %,1,317
219,2091,Daytona Beach FL Wildflower Unite Red Ale,Daytona Beach Brewing Company,Amber Ale,5.90 %,1,318
47,1860,Pokertree Red Earl Ruby Ale,Pokertree,Amber Ale,5.50 %,1,319
111,2750,Big Horn Buttface Amber Ale,Big Horn Brewing Company &#40; Ram International &#41;,Amber Ale,5.80 %,1,320
153,418,Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,1,321
44,2602,Radiant Pig Gangster Duck American Red Ale,Radiant Pig Beer Company,Amber Ale,6.20 %,1,322
96,2416,Elevator Barrel Aged Barley Wine,Elevator Brewing Company,Barley Wine,-,1,323
54,469,Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Amber Ale,6.50 %,1,324
126,2610,Big Choice Disconnected Red Ale,Big Choice Brewing,Amber Ale,6.70 %,1,325
48,545,Pine Creek River Valley Red Ale,Big Rock Brewery,Amber Ale,5 %,1,326
79,12,Red Duck Amber Ale,Purrumbete Brewing,Amber Ale,4.80 %,1,327
112,2517,Amsterdam X Sawdust City X Great Lakes X Indie Ale Barley Wine &#40; Oak &#41;,Amsterdam Brewing Company,Barley Wine,10 %,1,328
147,433,Heist American Style Red Ale,Heist Brewery,Amber Ale,4.50 %,1,329
46,972,William Street Red Sky Amber Ale,William Street Beer Co. .,Amber Ale,5 %,1,330
137,997,Ice Harbor Double Red Ale - Fresh Hop,Ice Harbor Brewing Company,Amber Ale,7 %,1,331
217,1962,Crannog Wobbly Toddler Red Milk Ale,Crannog Ales,English Strong Ale,7.50 %,1,332
80,1298,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 %,1,333
43,1604,Stadin American Red Ale,Stadin Panimo,Amber Ale,4.50 %,1,334
115,1594,Charleville Tornado Alley Amber Ale,Charleville Vineyard & Microbrewery,Amber Ale,-,1,335
81,316,Thirsty Pagan North Coast Amber Ale,Thirsty Pagan Brewing,Amber Ale,-,1,336
25,1889,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,1,337
76,2812,Railway City Iron Spike Amber Ale,Railway City Brewing Company,Amber Ale,4.60 %,1,338
7,1551,Ale Mania Imperial Red Ale,Ale Mania &#40; Fritz Ale &#41;,American Strong Ale,9.50 %,1,339
171,2831,Deschutes Green Lakes Non-Organic Ale,Deschutes Brewery,Amber Ale,6.40 %,1,340
226,524,Conshohocken Hale Fire Red Ale,Conshohocken Brewing Co. .,Amber Ale,6.60 %,1,341
30,2991,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,American Strong Ale,7.50 %,1,342
157,1445,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub,American Strong Ale,9.20 %,1,343
10,1120,Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,Figueroa Mountain Brewing,American Strong Ale,8 %,1,344
3,2722,Madhouse Venture Series Oak Aged Imperial Red,Madhouse Brewing Company,American Strong Ale,8.50 %,1,345
18,284,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,5 %,1,346
86,704,Bacchus / Burrow Bloodhound Blood Red IPA,Bacchus Brewing Company &#40; Australia &#41;,India Pale Ale &#40; IPA &#41;,6 %,1,347
163,333,Thorn Street Smugglers Cove Agave Amber Ale,Thorn Street Brewery,Amber Ale,6.20 %,1,348
172,2565,Upland Easy Chair Amber Ale,Upland Brewing Company,Amber Ale,5.60 %,1,349
27,1096,Boxing Cat Firecracker Imperial Red Ale,Boxing Cat Brewery,Amber Ale,6.60 %,1,350
202,2615,Half Moon Bay Mavericks Amber Ale,Half Moon Bay Brewing Company,Amber Ale,4.80 %,1,351
119,1586,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,Amber Ale,6 %,1,352
22,411,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,1,353
12,63,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,1,354
143,37,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,1,355
26,1934,Spring House Atomic Raygun Imperial Red Ale,Spring House Brewing Company,American Strong Ale,8.30 %,1,356
64,490,Central Coast Old Mission Amber Ale,Central Coast Brewing,Amber Ale,5.50 %,1,357
142,716,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,1,358
148,2972,GoodLife Redside India Red Ale,GoodLife Brewing Company,India Pale Ale &#40; IPA &#41;,6 %,1,359
188,602,Andersonville Bourbon Barrel Aged Sour Gangster,Andersonville Brewing Company,Sour Red/Brown,5.50 %,1,360
98,2048,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,Midnight Sun Brewing Company,Amber Ale,7.50 %,1,361
152,221,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6 %,1,362
36,1026,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,6.80 %,1,363
41,558,Saimaan Brewer_s Special American Red Ale,Saimaan Juomatehdas,Amber Ale,4.70 %,1,364
0,1496,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,1,365
74,1428,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Kettle House Brewing Company,American Strong Ale,13 %,1,366
8,1679,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,1,367
14,838,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,Irish Ale,5 %,1,368
182,218,Phillips Double Dragon Imperial Red Ale,Phillips Brewing Co. .,American Strong Ale,8.20 %,1,369
189,1073,Upland Rad Red Amber Ale,Upland Brewing Company,Amber Ale,5.60 %,1,370
176,447,Big Bear Mountain Orange Blossom Amber Ale,Big Bear Mountain Brewery,Fruit Beer,4.50 %,1,371
72,1408,Kilted Dragon Bonnie Heather Amber Ale,Kilted Dragon Brewing Company,Amber Ale,5 %,1,372
58,730,MadTree Bourbon Barrel Aged Happy Amber,MadTree Brewing Company,Amber Ale,6 %,1,373
146,1255,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,1,374
6,1911,Proof Abandoned Planet Imperial Red Ale,Proof Brewing Company,Amber Ale,7.50 %,1,375
122,1025,Out of Bounds Relentless Double Red Ale,Out of Bounds Brewing Company,American Strong Ale,8.20 %,1,376
164,2300,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,1,377
67,698,Rusty Truck Stupiphany Imperial Red Ale,Rusty Truck Brewing / Roadhouse 101,American Strong Ale,8 %,1,378
227,709,Bull & Barrel Session Style - Amber Ale,Bull & Barrel Brew Pub,Amber Ale,4.70 %,1,379
168,2381,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hopworks Urban Brewery,Barley Wine,9.50 %,1,380
117,2546,Trailhead Red Amber Ale,Trailhead Brewing Co. .,Amber Ale,-,1,381
91,1069,Hammond River Red Coat India Red Ale,Hammond River Brewing,Amber Ale,6.50 %,1,382
192,461,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,1,383
65,1038,Lancaster Hop Buggy Amber Ale,Lancaster Brewing Co. .,Amber Ale,5.60 %,1,384
29,2672,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,American Strong Ale,-,1,385
13,1119,Peter Bs Sum Of Hours Imperial Red Ale,Peter Bs Brewpub,American Strong Ale,9.50 %,1,386
138,2470,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,1,387
181,1165,Outpost Mr. Grain Jeans Organic Amber Ale,Lakefront Brewery,Amber Ale,5.50 %,1,388
77,2728,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,1,389
94,1261,Big Time Lift Ticket American Red Ale,Big Time Brewery,India Pale Ale &#40; IPA &#41;,7 %,1,390
149,439,Bagby Hop Crop Red Ale,Bagby Beer Company,Amber Ale,5.90 %,1,391
66,845,Hill Farmstead Amarillo Single Hop Pale Ale,Hill Farmstead Brewery,American Pale Ale,5.20 %,1,392
166,2601,Liberty Street Red Glare Amber Ale,Liberty Street Brewing Company,Amber Ale,5.20 %,1,393
5,349,Cigar City Cold Brew Series - Red Ale,Cigar City Brewing,Amber Ale,7.20 %,1,394
205,90,Lagunitas Imperial Red Ale,Lagunitas Brewing Company &#40; Heineken &#41;,American Strong Ale,7.80 %,1,395
123,2232,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 %,1,396
17,216,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80 %,1,397
104,1275,Canal Park General Sterling Price American Amber Ale - Centennial,Canal Park Brewing Company,Amber Ale,4.80 %,1,398
88,419,Big Texan Texas Red Amber Ale,Big Texan Brewery,Amber Ale,4.50 %,1,399
229,1166,Aftershock Oatmeal Raisin Cookie Ale,Aftershock Brewing Company,Golden Ale/Blond Ale,5.50 %,1,400
9,1635,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,1,401
154,559,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,5.40 %,1,402
162,2124,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,1,403
231,549,300 Suns Rabbit Mountain Red Ale,300 Suns Brewing,Amber Ale,6 %,1,404
23,872,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Amber Ale,-,1,405
193,1414,Renegade Scarlett Letter Imperial Red Ale,Renegade Brewing Company,American Strong Ale,8.50 %,1,406
120,2508,Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine,Hermit Thrush Brewery,Barley Wine,13 %,1,407
175,2510,21st Amendment Bourbon Barrel Lower da Boom Barleywine,21st Amendment Brewery,Barley Wine,9.50 %,1,408
204,1645,8 Wired Tall Poppy India Red Ale,Renaissance Brewing,Amber Ale,7 %,1,409
211,2899,Boxing Rock Temptation Red Ale,Boxing Rock Brewing Company,Amber Ale,6 %,1,410
75,1983,Pizza Port Acacia Amber Ale,Pizza Port &#40; Solana Beach &#41;,Belgian Ale,-,1,411
53,980,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,1,412
